Name,Host,Dopants,Dopant Charge,Structure,Excitation,Emission,FWHM,Color,QE,Book Chapter
CaO:Bi3+,CaO,Bi,3,Cubic_NaCl,3.40,3.17,0.29,Violet,2,Simple_Oxides
CaO:Cd2+,CaO,Cd,2,Cubic_NaCl,4.88,3.95,0.63,UV,0,Simple_Oxides
CaO:Cd2+,CaO,Cd,2,Cubic_NaCl,3.40,3.95,0.63,UV,0,Simple_Oxides
CaO:Cu1+,CaO,Cu,1,Cubic_NaCl,4.88,2.77,0.75,Blue,1,Simple_Oxides
CaO:Cu1+,CaO,Cu,1,Cubic_NaCl,3.40,2.77,0.75,Blue,0,Simple_Oxides
CaO:Cu1+,CaO,Cu,1,Cubic_NaCl,4.88,3.18,0.75,UV,1,Simple_Oxides
CaO:Cu1+,CaO,Cu,1,Cubic_NaCl,3.40,3.18,0.75,UV,0,Simple_Oxides
CaO:Eu3+,CaO,Eu,3,Cubic_NaCl,4.88,2.02,,Red,2,Simple_Oxides
CaO:Eu3+,CaO,Eu,3,Cubic_NaCl,3.40,2.02,,Red,0,Simple_Oxides
CaO:Mn2+,CaO,Mn,2,Cubic_NaCl,4.88,2.70,0.20,Orange,0,Simple_Oxides
CaO:Mn2+,CaO,Mn,2,Cubic_NaCl,3.40,2.70,0.20,Orange,0,Simple_Oxides
CaO:Pb2+,CaO,Pb,2,Cubic_NaCl,4.88,3.42,0.21,UV,2,Simple_Oxides
CaO:Pb2+,CaO,Pb,2,Cubic_NaCl,3.40,3.42,0.21,UV,0,Simple_Oxides
CaO:Sb3+,CaO,Sb,3,Cubic_NaCl,4.88,2.30,0.51,green,0,Simple_Oxides
CaO:Sb3+,CaO,Sb,3,Cubic_NaCl,3.40,2.30,0.51,green,0,Simple_Oxides
CaO:Sm3+,CaO,Sm,3,Cubic_NaCl,4.88,2.00,,orange,0,Simple_Oxides
CaO:Sm3+,CaO,Sm,3,Cubic_NaCl,3.40,2.00,,orange,0,Simple_Oxides
CaO:Sm3+,CaO,Sm,3,Cubic_NaCl,4.88,2.16,,yellow,0,Simple_Oxides
CaO:Sm3+,CaO,Sm,3,Cubic_NaCl,3.40,2.16,,yellow,0,Simple_Oxides
CaO:Tb3+,CaO,Tb,3,Cubic_NaCl,4.88,2.27,,green,1,Simple_Oxides
CaO:Tb3+,CaO,Tb,3,Cubic_NaCl,3.40,2.27,,green,0,Simple_Oxides
CaO:Tl1+,CaO,Tl,1,Cubic_NaCl,4.88,2.11,0.48,yellow,1,Simple_Oxides
CaO:Tl1+,CaO,Tl,1,Cubic_NaCl,3.40,2.11,0.48,yellow,0,Simple_Oxides
CaO:Tl1+,CaO,Tl,1,Cubic_NaCl,4.88,1.50,0.48,IR,1,Simple_Oxides
CaO:Tl1+,CaO,Tl,1,Cubic_NaCl,3.40,1.50,0.48,IR,0,Simple_Oxides
CaO:Zn2+,CaO,Zn,2,Cubic_NaCl,4.88,3.70,,UV,0,Simple_Oxides
